Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Construction,96-3122,No Year,No Year,96-3122 /X - Construction,"$7,130.3M","$8,887.2M",80.2%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Revolving Fund,96-4902,No Year,No Year,96-4902 /X - Revolving Fund,"$1,633.7M","$8,253.5M",19.8%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Flood Control and Coastal Emergencies,96-3125,No Year,No Year,96-3125 /X - Flood Control and Coastal Emergencies,"$3,416.8M","$4,257.4M",80.3%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Operation and Maintenance,96-3123,No Year,No Year,96-3123 /X - Operation and Maintenance,"$1,942.7M","$3,978.0M",48.8%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Rivers and Harbors Contributed Funds,96-8862,No Year,No Year,96-8862 /X - Rivers and Harbors Contributed Funds,$689.7M,"$1,088.7M",63.4%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Mississippi River and Tributaries,96-3112,No Year,No Year,96-3112 /X - Mississippi River and Tributaries,$463.4M,$808.6M,57.3%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Coastal Wetlands Restoration Trust Fund,96-8333,No Year,No Year,96-8333 /X - Coastal Wetlands Restoration Trust Fund,$248.1M,$312.4M,79.4%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Investigations,96-3121,No Year,No Year,96-3121 /X - Investigations,$207.4M,$310.3M,66.9%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2013-FY2014,2014,96-3126 13/14 - Regulatory Program,$52.6M,$197.1M,26.7%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2013-FY2014,2014,96-3124 13/14 - Expenses,$46.9M,$179.5M,26.1%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Formerly Utilized Sites Remedial Action Program,96-3130,No Year,No Year,96-3130 /X - Formerly Utilized Sites Remedial Action Program,$47.5M,$124.2M,38.2%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,No Year,No Year,96-3124 /X - Expenses,$12.2M,$22.5M,54.3%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,96-8217,No Year,No Year,96-8217 /X - South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,$11.6M,$20.1M,57.7%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,No Year,No Year,96-3126 /X - Regulatory Program,$13.2M,$18.8M,70.2%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Payments to States, Flood Control Act of 1954",96-5090,No Year,No Year,"96-5090 /X - Payments to States, Flood Control Act of 1954",$-0.6M,$11.0M,-5.4%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Maintenance and Operation of Dams and Other Improvements of Navi,96-5125,No Year,No Year,96-5125 /X - Maintenance and Operation of Dams and Other Improvements of Navi,$9.6M,$10.5M,91.3%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2012-FY2013,2013,96-3124 12/13 - Expenses,$0.8M,$8.4M,10.1%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2012-FY2013,2013,96-3126 12/13 - Regulatory Program,$1.8M,$7.8M,23.0%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2013-FY2014,2014,96-3132 13/14 - Office of the Assistant Secretary of the Army for Civil Works,$1.8M,$4.6M,39.1%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Inland Waterways Trust Fund,96-96-8861,No Year,No Year,96-96-8861 /X - Inland Waterways Trust Fund,$0.2M,$0.5M,50.1%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Hydraulic Mining in California, Debris Fund",96-5066,No Year,No Year,"96-5066 /X - Hydraulic Mining in California, Debris Fund",$0.2M,$0.4M,38.1%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,No Year,No Year,96-3132 /X - Office of the Assistant Secretary of the Army for Civil Works,$0.1M,$0.1M,100.0%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Washington Aqueduct,96-3128,No Year,No Year,96-3128 /X - Washington Aqueduct,$0.0M,$0.0M,13.3%
Jul,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2012-FY2013,2013,96-3132 12/13 - Office of the Assistant Secretary of the Army for Civil Works,$0.0M,$0.0M,100.0%
Jul,2013,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,12-4336,No Year,No Year,12-4336 /X - Commodity Credit Corporation Fund,"$8,381.6M","$21,638.3M",38.7%
Jul,2013,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2013-FY2014,2014,12-3539 13/14 - State Child Nutrition Programs,"$1,227.1M","$19,888.2M",6.2%
Jul,2013,Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$1,521.7M","$18,994.2M",8.0%
