Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Construction,96-3122,No Year,No Year,96-3122 /X - Construction,"$7,380.0M","$9,339.5M",79.0%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Revolving Fund,96-4902,No Year,No Year,96-4902 /X - Revolving Fund,$742.9M,"$6,040.6M",12.3%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Operation and Maintenance,96-3123,No Year,No Year,96-3123 /X - Operation and Maintenance,"$3,197.4M","$5,104.6M",62.6%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Flood Control and Coastal Emergencies,96-3125,No Year,No Year,96-3125 /X - Flood Control and Coastal Emergencies,"$2,265.1M","$2,436.5M",93.0%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Rivers and Harbors Contributed Funds,96-8862,No Year,No Year,96-8862 /X - Rivers and Harbors Contributed Funds,$723.2M,$925.4M,78.2%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Mississippi River and Tributaries,96-3112,No Year,No Year,96-3112 /X - Mississippi River and Tributaries,$303.8M,$507.7M,59.8%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Coastal Wetlands Restoration Trust Fund,96-8333,No Year,No Year,96-8333 /X - Coastal Wetlands Restoration Trust Fund,$365.5M,$400.0M,91.4%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Investigations,96-3121,No Year,No Year,96-3121 /X - Investigations,$196.4M,$299.3M,65.6%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2016-FY2017,2017,96-3126 16/17 - Regulatory Program,$92.7M,$206.9M,44.8%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2016-FY2017,2017,96-3124 16/17 - Expenses,$67.1M,$186.1M,36.1%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Formerly Utilized Sites Remedial Action Program,96-3130,No Year,No Year,96-3130 /X - Formerly Utilized Sites Remedial Action Program,$53.0M,$128.3M,41.3%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Maintenance and Operation of Dams and Other Improvements of Navi,96-5125,No Year,No Year,96-5125 /X - Maintenance and Operation of Dams and Other Improvements of Navi,$31.1M,$33.2M,93.9%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2015-FY2016,2016,96-3126 15/16 - Regulatory Program,$4.3M,$24.6M,17.4%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2015-FY2016,2016,96-3124 15/16 - Expenses,$4.9M,$14.4M,34.2%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Payments to States, Flood Control Act of 1954",96-5090,No Year,No Year,"96-5090 /X - Payments to States, Flood Control Act of 1954",$11.7M,$11.7M,100.0%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,96-8217,No Year,No Year,96-8217 /X - South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,$5.3M,$8.3M,64.0%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,No Year,No Year,96-3126 /X - Regulatory Program,$5.8M,$8.0M,72.5%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,No Year,No Year,96-3124 /X - Expenses,$3.8M,$5.8M,66.0%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2016-FY2017,2017,96-3132 16/17 - Office of the Assistant Secretary of the Army for Civil Works,$0.0M,$4.8M,0.0%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Hydraulic Mining in California, Debris Fund",96-5066,No Year,No Year,"96-5066 /X - Hydraulic Mining in California, Debris Fund",$0.3M,$0.3M,100.0%
May,2016,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Washington Aqueduct,96-3128,No Year,No Year,96-3128 /X - Washington Aqueduct,$0.0M,$0.0M,57.1%
May,2016,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2016,2016,12-3505 /16 - Supplemental Nutrition Assistance Program,"$27,638.0M","$77,113.8M",35.8%
May,2016,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,12-4336,No Year,No Year,12-4336 /X - Commodity Credit Corporation Fund,"$29,307.2M","$43,840.5M",66.8%
May,2016,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2016-FY2017,2017,12-3539 16/17 - State Child Nutrition Programs,"$5,392.2M","$22,133.7M",24.4%
May,2016,Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$5,261.3M","$11,864.5M",44.3%
May,2016,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$9,577.9M","$11,689.4M",81.9%
May,2016,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2016-FY2017,2017,"12-3510 16/17 - Special Supplemental Nutrition Program for Women, Infants, and C","$1,199.9M","$6,350.0M",18.9%
May,2016,Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,No Year,No Year,12-1004 /X - Farm Security and Rural Investment Programs,"$3,423.6M","$5,226.8M",65.5%
May,2016,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,"$4,049.6M","$4,490.5M",90.2%
May,2016,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,"$1,665.3M","$3,762.6M",44.3%
May,2016,Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,No Year,No Year,12-1115 /X - Wildland Fire Management,"$1,251.8M","$3,048.9M",41.1%
May,2016,Department of Agriculture,Rural Housing Service,Rural Community Facility Direct Loans Financing Account,12-4225,No Year,No Year,12-4225 /X - Rural Community Facility Direct Loans Financing Account,"$2,084.3M","$2,797.8M",74.5%
May,2016,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,"$1,445.5M","$2,591.0M",55.8%
May,2016,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Direct Loans Financing Account,12-4226,No Year,No Year,12-4226 /X - Rural Water and Waste Disposal Direct Loans Financing Account,"$1,531.9M","$2,486.2M",61.6%
May,2016,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Liquidating Account,12-4230,No Year,No Year,12-4230 /X - Rural Electrification and Telecommunications Liquidating Account,"$2,076.9M","$2,191.2M",94.8%
May,2016,Department of Agriculture,Forest Service,National Forest System,12-1106,No Year,No Year,12-1106 /X - National Forest System,$753.5M,"$1,848.8M",40.8%
May,2016,Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2016,2016,12-0137 /16 - Rental Assistance Program,$294.1M,"$1,389.7M",21.2%
May,2016,Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,FY2016,2016,12-1400 /16 - Salaries and Expenses,$578.9M,"$1,343.9M",43.1%
May,2016,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2015-FY2016,2016,"12-3510 15/16 - Special Supplemental Nutrition Program for Women, Infants, and C",$672.5M,"$1,232.5M",54.6%
May,2016,Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",12-5209,No Year,No Year,"12-5209 /X - Funds for Strengthening Markets, Income, and Supply (section 32)",$656.6M,"$1,184.5M",55.4%
May,2016,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,72-12-2278,No Year,No Year,72-12-2278 /X - Food for Peace Title II Grants,$273.0M,"$1,056.1M",25.8%
May,2016,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,FY2016,2016,12-3700 /16 - Salaries and Expenses,$301.5M,$982.6M,30.7%
May,2016,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,No Year,No Year,12-1600 /X - Salaries and Expenses,$591.7M,$973.7M,60.8%
May,2016,Department of Agriculture,Executive Operations,Working Capital Fund,12-4609,No Year,No Year,12-4609 /X - Working Capital Fund,$326.4M,$973.0M,33.5%
May,2016,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2015-FY2016,2016,12-3539 15/16 - State Child Nutrition Programs,$444.0M,$941.2M,47.2%
May,2016,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2016,2016,12-0600 /16 - Salaries and Expenses,$323.7M,$922.7M,35.1%
May,2016,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2016-FY2017,2017,12-1000 16/17 - Conservation Operations,$351.8M,$846.1M,41.6%
May,2016,Department of Agriculture,Forest Service,FLAME Wildfire Suppression Reserve Fund,12-1120,No Year,No Year,12-1120 /X - FLAME Wildfire Suppression Reserve Fund,$823.0M,$823.0M,100.0%
May,2016,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,12-2278,No Year,No Year,12-2278 /X - Food for Peace Title II Grants,$412.8M,$819.4M,50.4%
May,2016,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2016-FY2017,2017,12-3505 16/17 - Supplemental Nutrition Assistance Program,$191.7M,$816.0M,23.5%
May,2016,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,No Year,No Year,12-1500 /X - Research and Education Activities,$467.4M,$737.3M,63.4%
May,2016,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,No Year,No Year,12-0600 /X - Salaries and Expenses,$245.0M,$730.0M,33.6%
May,2016,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,FY2016,2016,12-1140 /16 - Agricultural Credit Insurance Fund Program Account,$445.5M,$717.7M,62.1%
May,2016,Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2016,2016,12-0403 /16 - Salaries and Expenses,$239.4M,$697.2M,34.3%
May,2016,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2016,2016,12-1600 /16 - Salaries and Expenses,$214.8M,$660.8M,32.5%
May,2016,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,12-1980,No Year,No Year,12-1980 /X - Rural Water and Waste Disposal Program Account,$323.7M,$649.5M,49.8%
May,2016,Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Guaranteed Loans Financing Account,12-4227,No Year,No Year,12-4227 /X - Rural Business and Industry Guaranteed Loans Financing Account,$466.8M,$549.4M,85.0%
May,2016,Department of Agriculture,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,12-1072,No Year,No Year,12-1072 /X - Watershed and Flood Prevention Operations,$498.8M,$541.3M,92.2%
May,2016,Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2016,2016,12-0502 /16 - Extension Activities,$66.6M,$499.2M,13.3%
May,2016,Department of Agriculture,Forest Service,Capital Improvement and Maintenance,12-1103,No Year,No Year,12-1103 /X - Capital Improvement and Maintenance,$265.9M,$495.1M,53.7%
May,2016,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Program Account,12-2081,FY2016,2016,12-2081 /16 - Rural Housing Insurance Fund Program Account,$35.1M,$490.4M,7.2%
May,2016,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-5161,No Year,No Year,12-5161 /X - Salaries and Expenses,$345.3M,$478.2M,72.2%
May,2016,Department of Agriculture,Foreign Agricultural Service,McGovern-Dole International Food for Education and Child Nutriti,12-2903,No Year,No Year,12-2903 /X - McGovern-Dole International Food for Education and Child Nutriti,$232.6M,$465.5M,50.0%
May,2016,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,FY2016,2016,12-1500 /16 - Research and Education Activities,$113.2M,$436.8M,25.9%
May,2016,Department of Agriculture,Farm Service Agency,Farm Storage Facility Direct Loan Financing Account,12-4158,No Year,No Year,12-4158 /X - Farm Storage Facility Direct Loan Financing Account,$334.9M,$432.9M,77.4%
May,2016,Department of Agriculture,Forest Service,Cooperative Work Trust Fund,12-8028,No Year,No Year,12-8028 /X - Cooperative Work Trust Fund,$371.5M,$422.5M,87.9%
May,2016,Department of Agriculture,Forest Service,Forest and Rangeland Research,12-1104,No Year,No Year,12-1104 /X - Forest and Rangeland Research,$206.4M,$414.4M,49.8%
May,2016,Department of Agriculture,Forest Service,State and Private Forestry,12-1105,No Year,No Year,12-1105 /X - State and Private Forestry,$274.3M,$394.8M,69.5%
May,2016,Department of Agriculture,Forest Service,Working Capital Fund,12-4605,No Year,No Year,12-4605 /X - Working Capital Fund,$204.0M,$374.7M,54.4%
May,2016,Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2016,2016,12-2900 /16 - Salaries and Expenses,$211.0M,$371.8M,56.7%
May,2016,Department of Agriculture,Forest Service,Restoration of Forest Lands and Improvements,12-5215,No Year,No Year,12-5215 /X - Restoration of Forest Lands and Improvements,$319.3M,$359.4M,88.8%
May,2016,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,12-4213,No Year,No Year,12-4213 /X - Agricultural Credit Insurance Fund Guaranteed Loan Financing Acc,$327.8M,$350.9M,93.4%
May,2016,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,No Year,No Year,12-3700 /X - Salaries and Expenses,$171.8M,$338.6M,50.7%
May,2016,Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2016-FY2017,2017,12-3507 16/17 - Commodity Assistance Program,$111.9M,$317.6M,35.2%
May,2016,Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Grants,12-3105,No Year,No Year,12-3105 /X - Rural Economic Development Grants,$289.7M,$300.4M,96.4%
May,2016,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,No Year,No Year,12-3539 /X - State Child Nutrition Programs,$84.5M,$272.7M,31.0%
May,2016,Department of Agriculture,Foreign Agricultural Service,"Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",12-2274,No Year,No Year,"12-2274 /X - Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",$270.3M,$271.0M,99.8%
May,2016,Department of Agriculture,Agricultural Research Service,Buildings and Facilities,12-1401,No Year,No Year,12-1401 /X - Buildings and Facilities,$251.7M,$256.2M,98.3%
May,2016,Department of Agriculture,Farm Service Agency,Emergency Conservation Program,12-3316,No Year,No Year,12-3316 /X - Emergency Conservation Program,$216.0M,$250.2M,86.3%
May,2016,Department of Agriculture,Agricultural Marketing Service,Miscellaneous Trust Funds,12-8015,No Year,No Year,12-8015 /X - Miscellaneous Trust Funds,$130.4M,$240.9M,54.2%
May,2016,Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Guaranteed Loan Financing Account,12-4355,No Year,No Year,12-4355 /X - Biorefinery Assistance Guaranteed Loan Financing Account,$234.2M,$234.2M,100.0%
May,2016,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,No Year,No Year,"12-3510 /X - Special Supplemental Nutrition Program for Women, Infants, and C",$221.6M,$222.2M,99.7%
May,2016,Department of Agriculture,Rural Utilities Service,"Distance Learning, Telemedicine, and Broadband Direct Loan Finan",12-4146,No Year,No Year,"12-4146 /X - Distance Learning, Telemedicine, and Broadband Direct Loan Finan",$195.5M,$219.6M,89.0%
May,2016,Department of Agriculture,Farm Service Agency,Tobacco Trust Fund,12-8161,No Year,No Year,12-8161 /X - Tobacco Trust Fund,$183.0M,$190.0M,96.3%
May,2016,Department of Agriculture,Rural Business_Cooperative Service,Biorefinery Assistance Program Account,12-3106,No Year,No Year,12-3106 /X - Biorefinery Assistance Program Account,$167.4M,$167.4M,100.0%
May,2016,Department of Agriculture,Forest Service,"Payment to States, National Forests Fund",12-5201,No Year,No Year,"12-5201 /X - Payment to States, National Forests Fund",$63.1M,$166.9M,37.8%
May,2016,Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,FY2016,2016,12-2500 /16 - Marketing Services,$65.5M,$160.4M,40.8%
May,2016,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Liquidating Account,12-4141,No Year,No Year,12-4141 /X - Rural Housing Insurance Fund Liquidating Account,$130.6M,$153.3M,85.2%
May,2016,Department of Agriculture,Food and Nutrition Service,Nutrition Programs Administration,12-3508,FY2016,2016,12-3508 /16 - Nutrition Programs Administration,$56.6M,$152.5M,37.1%
May,2016,Department of Agriculture,National Agricultural Statistics Service,National Agricultural Statistics Service,12-1801,FY2016,2016,12-1801 /16 - National Agricultural Statistics Service,$26.9M,$145.8M,18.5%
May,2016,Department of Agriculture,Forest Service,"Payments to States Northern Spotted Owl Guarantee, Forest Servic",12-1117,FY2016,2016,"12-1117 /16 - Payments to States Northern Spotted Owl Guarantee, Forest Servic",$0.0M,$145.4M,0.0%
May,2016,Department of Agriculture,Forest Service,"Recreation Fees, Forest Service",12-5268,No Year,No Year,"12-5268 /X - Recreation Fees, Forest Service",$107.2M,$140.3M,76.4%
May,2016,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2015-FY2016,2016,12-1000 15/16 - Conservation Operations,$93.9M,$128.0M,73.4%
May,2016,Department of Agriculture,Office of the Secretary,Office of the Secretary,12-0115,FY2016,2016,12-0115 /16 - Office of the Secretary,$39.3M,$113.7M,34.6%
May,2016,Department of Agriculture,Agricultural Marketing Service,Marketing Services,12-2500,No Year,No Year,12-2500 /X - Marketing Services,$75.3M,$112.2M,67.1%
May,2016,Department of Agriculture,Rural Business_Cooperative Service,Rural Business Program Account,12-1902,No Year,No Year,12-1902 /X - Rural Business Program Account,$78.4M,$101.2M,77.4%
May,2016,Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,FY2016,2016,"12-1502 /16 - Integrated Research, Education, and Extension Competitive Grants",$100.9M,$100.9M,100.0%
May,2016,Department of Agriculture,Office of Inspector General,Office of Inspector General,12-0900,FY2016,2016,12-0900 /16 - Office of Inspector General,$35.7M,$99.7M,35.8%
May,2016,Department of Agriculture,Foreign Agricultural Service,P.L. 480 Direct Credit Financing Account,12-4049,No Year,No Year,12-4049 /X - P.L. 480 Direct Credit Financing Account,$72.0M,$97.1M,74.1%
May,2016,Department of Agriculture,Forest Service,"State, Private, and International Forestry (Land and Water Conse",12-5367,No Year,No Year,"12-5367 /X - State, Private, and International Forestry (Land and Water Conse",$57.4M,$95.6M,60.1%
May,2016,Department of Agriculture,Foreign Agricultural Service,Debt Reduction - Financing Account,12-4143,No Year,No Year,12-4143 /X - Debt Reduction - Financing Account,$93.0M,$95.5M,97.4%
May,2016,Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Direct Loan Financing Account,12-4269,No Year,No Year,12-4269 /X - Multifamily Housing Revitalization Direct Loan Financing Account,$67.6M,$95.3M,70.9%
May,2016,Department of Agriculture,Forest Service,Timber Salvage Sales,12-5204,No Year,No Year,12-5204 /X - Timber Salvage Sales,$79.6M,$94.0M,84.7%
May,2016,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Guarantee Financing Account,12-4337,No Year,No Year,12-4337 /X - Commodity Credit Corporation Export Guarantee Financing Account,$71.8M,$90.4M,79.5%
May,2016,Department of Agriculture,Economic Research Service,Economic Research Service,12-1701,FY2016,2016,12-1701 /16 - Economic Research Service,$30.5M,$87.9M,34.7%
