Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Sep,2024,400 Years of African-American History Commission,Deposit Insurance,Deposit Insurance Fund,51-4596,No Year,No Year,51-4596 /X - Deposit Insurance Fund,"$106,637.0M","$178,167.1M",59.9%
Sep,2024,400 Years of African-American History Commission,Tennessee Valley Authority,Tennessee Valley Authority Fund,64-4110,No Year,No Year,64-4110 /X - Tennessee Valley Authority Fund,"$14,900.3M","$78,991.8M",18.9%
Sep,2024,400 Years of African-American History Commission,National Credit Union Administration,Credit Union Share Insurance Fund,25-4468,No Year,No Year,25-4468 /X - Credit Union Share Insurance Fund,"$22,098.3M","$22,738.2M",97.2%
Sep,2024,400 Years of African-American History Commission,Railroad Retirement Board,Railroad Social Security Equivalent Benefit Account,60-8010,No Year,No Year,60-8010 /X - Railroad Social Security Equivalent Benefit Account,$0.0M,"$8,730.1M",0.0%
Sep,2024,400 Years of African-American History Commission,Farm Credit System Insurance Corporation,Farm Credit Revolving Fund,78-4136,No Year,No Year,78-4136 /X - Farm Credit Revolving Fund,"$7,386.2M","$7,514.4M",98.3%
Sep,2024,400 Years of African-American History Commission,Railroad Retirement Board,Rail Industry Pension Fund,60-8011,No Year,No Year,60-8011 /X - Rail Industry Pension Fund,$0.0M,"$5,875.6M",0.0%
Sep,2024,400 Years of African-American History Commission,Federal Communications Commission,Affordable Connectivity Fund,27-1911,No Year,No Year,27-1911 /X - Affordable Connectivity Fund,$313.1M,"$5,617.4M",5.6%
Sep,2024,400 Years of African-American History Commission,Bureau of Consumer Financial Protection,Consumer Financial Civil Penalty Fund,95-5578,No Year,No Year,95-5578 /X - Consumer Financial Civil Penalty Fund,"$2,123.1M","$2,846.3M",74.6%
Sep,2024,400 Years of African-American History Commission,Export-Import Bank of the United States,Export-Import Bank Direct Loan Financing Account,83-4161,No Year,No Year,83-4161 /X - Export-Import Bank Direct Loan Financing Account,"$1,677.2M","$2,580.2M",65.0%
Sep,2024,400 Years of African-American History Commission,Securities and Exchange Commission,Salaries and Expenses,50-0100,No Year,No Year,50-0100 /X - Salaries and Expenses,$141.9M,"$2,340.9M",6.1%
Sep,2024,400 Years of African-American History Commission,Federal Communications Commission,Universal Service Fund,27-5183,No Year,No Year,27-5183 /X - Universal Service Fund,"$-23,445.7M","$1,635.4M",-1433.6%
Sep,2024,400 Years of African-American History Commission,Federal Communications Commission,"Telecommunications Relay Services Fund, Federal Communications C",27-5700,No Year,No Year,"27-5700 /X - Telecommunications Relay Services Fund, Federal Communications C",$209.6M,"$1,615.2M",13.0%
Sep,2024,400 Years of African-American History Commission,Export-Import Bank of the United States,Export-Import Bank Guaranteed Loan Financing Account,83-4162,No Year,No Year,83-4162 /X - Export-Import Bank Guaranteed Loan Financing Account,$338.7M,"$1,257.9M",26.9%
