Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Revolving Fund,96-4902,No Year,No Year,96-4902 /X - Revolving Fund,"$5,648.5M","$7,091.6M",79.7%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Construction,96-3122,No Year,No Year,96-3122 /X - Construction,"$4,189.0M","$4,440.4M",94.3%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Flood Control and Coastal Emergencies,96-3125,No Year,No Year,96-3125 /X - Flood Control and Coastal Emergencies,"$3,028.3M","$3,274.7M",92.5%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Operation and Maintenance,96-3123,No Year,No Year,96-3123 /X - Operation and Maintenance,"$1,443.0M","$1,793.2M",80.5%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Rivers and Harbors Contributed Funds,96-8862,No Year,No Year,96-8862 /X - Rivers and Harbors Contributed Funds,$672.5M,$730.4M,92.1%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Mississippi River and Tributaries,96-3112,No Year,No Year,96-3112 /X - Mississippi River and Tributaries,$604.7M,$674.4M,89.7%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Investigations,96-3121,No Year,No Year,96-3121 /X - Investigations,$160.6M,$179.7M,89.3%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Coastal Wetlands Restoration Trust Fund,96-8333,No Year,No Year,96-8333 /X - Coastal Wetlands Restoration Trust Fund,$223.9M,$174.3M,128.4%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2013-FY2014,2014,96-3126 13/14 - Regulatory Program,$71.3M,$98.8M,72.1%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2013-FY2014,2014,96-3124 13/14 - Expenses,$58.6M,$86.2M,68.0%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Formerly Utilized Sites Remedial Action Program,96-3130,No Year,No Year,96-3130 /X - Formerly Utilized Sites Remedial Action Program,$36.6M,$58.2M,62.9%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,96-8217,No Year,No Year,96-8217 /X - South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,$17.3M,$20.3M,85.2%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,No Year,No Year,96-3126 /X - Regulatory Program,$10.7M,$11.8M,90.3%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Payments to States, Flood Control Act of 1954",96-5090,No Year,No Year,"96-5090 /X - Payments to States, Flood Control Act of 1954",$11.6M,$11.6M,100.0%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Maintenance and Operation of Dams and Other Improvements of Navi,96-5125,No Year,No Year,96-5125 /X - Maintenance and Operation of Dams and Other Improvements of Navi,$10.8M,$10.9M,99.7%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,No Year,No Year,96-3124 /X - Expenses,$7.1M,$7.4M,96.0%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2012-FY2013,2013,96-3126 12/13 - Regulatory Program,$4.5M,$6.8M,65.9%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2012-FY2013,2013,96-3124 12/13 - Expenses,$5.5M,$6.2M,88.5%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2013-FY2014,2014,96-3132 13/14 - Office of the Assistant Secretary of the Army for Civil Works,$0.0M,$2.4M,0.0%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Hydraulic Mining in California, Debris Fund",96-5066,No Year,No Year,"96-5066 /X - Hydraulic Mining in California, Debris Fund",$0.3M,$0.3M,87.2%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Washington Aqueduct,96-3128,No Year,No Year,96-3128 /X - Washington Aqueduct,$0.0M,$0.0M,100.0%
Nov,2013,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2012-FY2013,2013,96-3132 12/13 - Office of the Assistant Secretary of the Army for Civil Works,$0.0M,$0.0M,100.0%
Nov,2013,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2013,2013,12-3505 /13 - Supplemental Nutrition Assistance Program,"$31,039.0M","$44,408.0M",69.9%
Nov,2013,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,12-4336,No Year,No Year,12-4336 /X - Commodity Credit Corporation Fund,"$27,196.6M","$31,968.6M",85.1%
Nov,2013,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2013-FY2014,2014,12-3539 13/14 - State Child Nutrition Programs,"$10,905.6M","$16,187.9M",67.4%
Nov,2013,Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$5,351.0M","$10,232.6M",52.3%
Nov,2013,Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",12-5209,No Year,No Year,"12-5209 /X - Funds for Strengthening Markets, Income, and Supply (section 32)","$8,869.6M","$9,076.7M",97.7%
Nov,2013,Department of Agriculture,Food and Nutrition Service,"Food Stamp Program, Recovery Act",12-3542,FY2013,2013,"12-3542 /13 - Food Stamp Program, Recovery Act","$5,783.6M","$6,819.1M",84.8%
Nov,2013,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$4,653.5M","$4,803.8M",96.9%
Nov,2013,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2013-FY2014,2014,"12-3510 13/14 - Special Supplemental Nutrition Program for Women, Infants, and C",$920.1M,"$3,227.8M",28.5%
Nov,2013,Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,FY2013,2013,12-1004 /13 - Farm Security and Rural Investment Programs,"$2,440.9M","$2,854.0M",85.5%
Nov,2013,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,"$2,341.1M","$2,450.0M",95.6%
Nov,2013,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,"$1,191.0M","$1,475.2M",80.7%
Nov,2013,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,"$1,021.4M","$1,380.8M",74.0%
