Month,Fiscal_Year,Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Construction,96-3122,No Year,No Year,96-3122 /X - Construction,"$5,839.1M","$7,802.5M",74.8%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Revolving Fund,96-4902,No Year,No Year,96-4902 /X - Revolving Fund,$756.4M,"$7,292.9M",10.4%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Operation and Maintenance,96-3123,No Year,No Year,96-3123 /X - Operation and Maintenance,"$1,814.2M","$4,216.9M",43.0%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Flood Control and Coastal Emergencies,96-3125,No Year,No Year,96-3125 /X - Flood Control and Coastal Emergencies,"$2,518.9M","$2,799.5M",90.0%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Rivers and Harbors Contributed Funds,96-8862,No Year,No Year,96-8862 /X - Rivers and Harbors Contributed Funds,$737.8M,"$1,137.1M",64.9%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Mississippi River and Tributaries,96-3112,No Year,No Year,96-3112 /X - Mississippi River and Tributaries,$249.0M,$516.4M,48.2%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Coastal Wetlands Restoration Trust Fund,96-8333,No Year,No Year,96-8333 /X - Coastal Wetlands Restoration Trust Fund,$320.9M,$375.6M,85.5%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Investigations,96-3121,No Year,No Year,96-3121 /X - Investigations,$183.6M,$307.0M,59.8%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2015-FY2016,2016,96-3126 15/16 - Regulatory Program,$70.6M,$216.9M,32.6%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2015-FY2016,2016,96-3124 15/16 - Expenses,$48.3M,$195.0M,24.8%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Formerly Utilized Sites Remedial Action Program,96-3130,No Year,No Year,96-3130 /X - Formerly Utilized Sites Remedial Action Program,$32.4M,$117.7M,27.6%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Inland Waterways Trust Fund,96-96-8861,No Year,No Year,96-96-8861 /X - Inland Waterways Trust Fund,$0.0M,$68.8M,0.0%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Maintenance and Operation of Dams and Other Improvements of Navi,96-5125,No Year,No Year,96-5125 /X - Maintenance and Operation of Dams and Other Improvements of Navi,$25.1M,$27.7M,90.7%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,FY2014-FY2015,2015,96-3126 14/15 - Regulatory Program,$2.8M,$23.1M,12.3%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,FY2014-FY2015,2015,96-3124 14/15 - Expenses,$4.3M,$19.3M,22.5%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Expenses,96-3124,No Year,No Year,96-3124 /X - Expenses,$7.1M,$13.0M,54.7%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Payments to States, Flood Control Act of 1954",96-5090,No Year,No Year,"96-5090 /X - Payments to States, Flood Control Act of 1954",$0.0M,$12.6M,0.0%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Regulatory Program,96-3126,No Year,No Year,96-3126 /X - Regulatory Program,$7.6M,$11.9M,63.8%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,96-8217,No Year,No Year,96-8217 /X - South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund,$6.9M,$11.8M,58.7%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Office of the Assistant Secretary of the Army for Civil Works,96-3132,FY2015-FY2016,2016,96-3132 15/16 - Office of the Assistant Secretary of the Army for Civil Works,$0.1M,$3.0M,1.6%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,"Hydraulic Mining in California, Debris Fund",96-5066,No Year,No Year,"96-5066 /X - Hydraulic Mining in California, Debris Fund",$0.2M,$0.4M,37.8%
Jul,2015,Corps of Engineers-Civil Works,Corps of Engineers--Civil Works,Washington Aqueduct,96-3128,No Year,No Year,96-3128 /X - Washington Aqueduct,$0.0M,$0.0M,44.4%
Jul,2015,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2015,2015,12-3505 /15 - Supplemental Nutrition Assistance Program,"$13,548.7M","$77,890.4M",17.4%
Jul,2015,Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,12-4336,No Year,No Year,12-4336 /X - Commodity Credit Corporation Fund,"$33,231.1M","$42,051.6M",79.0%
Jul,2015,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2015-FY2016,2016,12-3539 15/16 - State Child Nutrition Programs,"$2,539.0M","$21,279.9M",11.9%
Jul,2015,Department of Agriculture,Risk Management Agency,Federal Crop Insurance Corporation Fund,12-4085,No Year,No Year,12-4085 /X - Federal Crop Insurance Corporation Fund,"$4,755.0M","$13,494.2M",35.2%
Jul,2015,Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Direct Loan Financi,12-4208,No Year,No Year,12-4208 /X - Rural Electrification and Telecommunications Direct Loan Financi,"$5,823.0M","$8,895.9M",65.5%
Jul,2015,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2015-FY2016,2016,"12-3510 15/16 - Special Supplemental Nutrition Program for Women, Infants, and C",$679.0M,"$6,623.0M",10.3%
Jul,2015,Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,No Year,No Year,12-1004 /X - Farm Security and Rural Investment Programs,"$2,588.3M","$4,721.5M",54.8%
Jul,2015,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Guaranteed Loan Financing Account,12-4216,No Year,No Year,12-4216 /X - Rural Housing Insurance Fund Guaranteed Loan Financing Account,"$3,800.3M","$4,488.6M",84.7%
Jul,2015,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Direct Loan Financing Account,12-4212,No Year,No Year,12-4212 /X - Agricultural Credit Insurance Fund Direct Loan Financing Account,"$1,556.0M","$4,146.2M",37.5%
Jul,2015,Department of Agriculture,Rural Housing Service,Rural Community Facility Direct Loans Financing Account,12-4225,No Year,No Year,12-4225 /X - Rural Community Facility Direct Loans Financing Account,"$2,450.9M","$3,265.6M",75.1%
Jul,2015,Department of Agriculture,Forest Service,Wildland Fire Management,12-1115,No Year,No Year,12-1115 /X - Wildland Fire Management,$697.9M,"$2,736.9M",25.5%
Jul,2015,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Direct Loans Financing Account,12-4226,No Year,No Year,12-4226 /X - Rural Water and Waste Disposal Direct Loans Financing Account,"$1,086.2M","$2,235.9M",48.6%
Jul,2015,Department of Agriculture,Rural Housing Service,Rural Housing Insurance Fund Direct Loan Financing Account,12-4215,No Year,No Year,12-4215 /X - Rural Housing Insurance Fund Direct Loan Financing Account,$807.1M,"$2,103.4M",38.4%
Jul,2015,Department of Agriculture,Forest Service,National Forest System,12-1106,No Year,No Year,12-1106 /X - National Forest System,$458.5M,"$1,792.6M",25.6%
Jul,2015,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,No Year,No Year,12-1600 /X - Salaries and Expenses,$510.8M,"$1,476.3M",34.6%
Jul,2015,Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,FY2015,2015,12-1400 /15 - Salaries and Expenses,$447.0M,"$1,357.8M",32.9%
Jul,2015,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,72-12-2278,No Year,No Year,72-12-2278 /X - Food for Peace Title II Grants,$387.6M,"$1,102.1M",35.2%
Jul,2015,Department of Agriculture,Rural Housing Service,Rental Assistance Program,12-0137,FY2015,2015,12-0137 /15 - Rental Assistance Program,$3.7M,"$1,088.5M",0.3%
Jul,2015,Department of Agriculture,Agricultural Marketing Service,"Funds for Strengthening Markets, Income, and Supply (section 32)",12-5209,No Year,No Year,"12-5209 /X - Funds for Strengthening Markets, Income, and Supply (section 32)",$454.8M,"$1,055.7M",43.1%
Jul,2015,Department of Agriculture,Executive Operations,Working Capital Fund,12-4609,No Year,No Year,12-4609 /X - Working Capital Fund,$266.5M,"$1,005.8M",26.5%
Jul,2015,Department of Agriculture,Food Safety and Inspection Service,Salaries and Expenses,12-3700,FY2015,2015,12-3700 /15 - Salaries and Expenses,$138.3M,$983.1M,14.1%
Jul,2015,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2015,2015,12-0600 /15 - Salaries and Expenses,$246.8M,$939.9M,26.3%
Jul,2015,Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,FY2015-FY2016,2016,12-1000 15/16 - Conservation Operations,$249.9M,$855.7M,29.2%
Jul,2015,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and C",12-3510,FY2014-FY2015,2015,"12-3510 14/15 - Special Supplemental Nutrition Program for Women, Infants, and C",$42.5M,$838.9M,5.1%
Jul,2015,Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2015-FY2016,2016,12-3505 15/16 - Supplemental Nutrition Assistance Program,$132.2M,$824.0M,16.0%
Jul,2015,Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,No Year,No Year,12-0600 /X - Salaries and Expenses,$171.3M,$760.3M,22.5%
Jul,2015,Department of Agriculture,Forest Service,Working Capital Fund,12-4605,No Year,No Year,12-4605 /X - Working Capital Fund,$479.3M,$749.8M,63.9%
Jul,2015,Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2015,2015,12-0403 /15 - Salaries and Expenses,$153.0M,$689.6M,22.2%
Jul,2015,Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Guaranteed Loans Financing Account,12-4227,No Year,No Year,12-4227 /X - Rural Business and Industry Guaranteed Loans Financing Account,$570.5M,$688.5M,82.9%
Jul,2015,Department of Agriculture,National Institute of Food and Agriculture,Research and Education Activities,12-1500,No Year,No Year,12-1500 /X - Research and Education Activities,$398.9M,$668.4M,59.7%
Jul,2015,Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2015,2015,12-1600 /15 - Salaries and Expenses,$143.7M,$647.3M,22.2%
Jul,2015,Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2014-FY2015,2015,12-3539 14/15 - State Child Nutrition Programs,$186.2M,$644.6M,28.9%
Jul,2015,Department of Agriculture,Foreign Agricultural Service,Food for Peace Title II Grants,12-2278,No Year,No Year,12-2278 /X - Food for Peace Title II Grants,$344.4M,$629.4M,54.7%
Jul,2015,Department of Agriculture,Rural Utilities Service,Rural Water and Waste Disposal Program Account,12-1980,No Year,No Year,12-1980 /X - Rural Water and Waste Disposal Program Account,$253.0M,$618.1M,40.9%
Jul,2015,Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,FY2015,2015,12-1140 /15 - Agricultural Credit Insurance Fund Program Account,$58.0M,$514.2M,11.3%
