Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Defense-Military,Military Construction,"Military Construction, Defense-wide",69-97-0500,FY2012-FY2016,2016,"69-97-0500 12/16 - Military Construction, Defense-wide",$0.0M,$0.0M,49.4%
Department of Defense-Military,Military Construction,"Military Construction, Army",69-21-2050,FY2012-FY2016,2016,"69-21-2050 12/16 - Military Construction, Army",$0.0M,$0.0M,0.0%
Department of Defense-Military,Military Construction,"Military Construction, Army Reserve",69-21-2086,FY2016-FY2020,2020,"69-21-2086 16/20 - Military Construction, Army Reserve",$0.0M,$0.0M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",69-57-3300,FY2015-FY2019,2019,"69-57-3300 15/19 - Military Construction, Air Force",$0.0M,$0.0M,100.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2015-FY2016,2016,12-16-0181 15/16 - Office of Job Corps,$0.0M,$0.1M,0.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2016-FY2017,2017,12-16-0181 16/17 - Office of Job Corps,$0.0M,$0.1M,57.4%
Department of Labor,Employment and Training Administration,Training and Employment Services,14-16-0174,FY2016-FY2017,2017,14-16-0174 16/17 - Training and Employment Services,$0.0M,$0.0M,58.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2013-FY2016,2016,12-16-0181 13/16 - Office of Job Corps,$0.0M,$0.0M,1.4%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2014-FY2017,2017,12-16-0181 14/17 - Office of Job Corps,$0.0M,$0.0M,38.0%
Department of Labor,Employment and Training Administration,Office of Job Corps,12-16-0181,FY2015-FY2018,2018,12-16-0181 15/18 - Office of Job Corps,$0.0M,$0.0M,80.3%
Department of State,Other,Global Health Programs,72-19-1031,FY2016-FY2017,2017,72-19-1031 16/17 - Global Health Programs,$2.8M,$2.8M,99.6%
Department of State,Other,Global Health Programs,72-19-1031,FY2015-FY2019,2019,72-19-1031 15/19 - Global Health Programs,$0.3M,$2.5M,10.9%
Department of State,Other,Global Health Programs,72-19-1031,FY2015-FY2016,2016,72-19-1031 15/16 - Global Health Programs,$0.4M,$2.0M,19.2%
Department of State,Other,Global Health Programs,75-19-1031,FY2015-FY2019,2019,75-19-1031 15/19 - Global Health Programs,$0.3M,$1.9M,15.5%
Department of State,Other,Global Health Programs,72-19-1031,FY2016-FY2020,2020,72-19-1031 16/20 - Global Health Programs,$1.8M,$1.8M,98.6%
Department of State,Other,International Narcotics Control,19-11-1022,FY2016-FY2017,2017,19-11-1022 16/17 - International Narcotics Control,$1.1M,$1.2M,93.2%
Department of State,Other,International Narcotics Control,19-11-1022,FY2015-FY2016,2016,19-11-1022 15/16 - International Narcotics Control,$0.6M,$0.8M,75.9%
Department of State,Other,Global Health Programs,75-19-1031,FY2016-FY2020,2020,75-19-1031 16/20 - Global Health Programs,$0.3M,$0.7M,43.6%
Department of State,Other,Global Health Programs,75-19-1031,FY2014-FY2018,2018,75-19-1031 14/18 - Global Health Programs,$0.1M,$0.4M,21.3%
Department of State,Other,Global Health Programs,72-19-1031,FY2014-FY2018,2018,72-19-1031 14/18 - Global Health Programs,$0.1M,$0.3M,31.9%
Department of State,Other,Global Health Programs,97-19-1031,FY2015-FY2019,2019,97-19-1031 15/19 - Global Health Programs,$0.1M,$0.2M,42.4%
Department of State,Other,Global Health Programs,72-19-1031,FY2013-FY2017,2017,72-19-1031 13/17 - Global Health Programs,$0.0M,$0.1M,53.4%
Department of State,Other,Global Health Programs,75-19-1031,FY2012-FY2016,2016,75-19-1031 12/16 - Global Health Programs,$0.0M,$0.1M,11.6%
Department of State,Other,Global Health Programs,75-19-1031,FY2013-FY2017,2017,75-19-1031 13/17 - Global Health Programs,$0.0M,$0.1M,15.2%
Department of State,Other,Global Health Programs,97-19-1031,FY2014-FY2018,2018,97-19-1031 14/18 - Global Health Programs,$0.0M,$0.1M,44.3%
Department of State,Other,Democracy Fund,72-19-1121,FY2015-FY2016,2016,72-19-1121 15/16 - Democracy Fund,$0.0M,$0.1M,48.6%
